net,length_um
clknet_leaf_44_clk,83.14
clknet_leaf_31_clk,81.82
_0942_,81.42
rs_inst.execute_clear,80.52
clknet_leaf_53_clk,79.86
_0747_,79.64
clknet_leaf_40_clk,79.01
_0884_,78.88
clknet_leaf_17_clk,78.58
_0866_,78.46
clknet_leaf_52_clk,77.74
_0371_,77.48
clknet_leaf_10_clk,77.1
clknet_leaf_24_clk,76.56
clknet_leaf_42_clk,76.48
clknet_leaf_29_clk,76.34
_0663_,76.32
_1026_,76.18
_1079_,76.06
clknet_leaf_12_clk,75.28
_0858_,74.52
_1077_,74.1
clknet_leaf_2_clk,73.92
_0910_,73.46
_0812_,73.1
_0828_,72.48
_0867_,69.52
_0869_,69.4
clknet_leaf_30_clk,67.94
_0427_,67.9
_0794_,67.58
clknet_leaf_13_clk,67.52
clknet_leaf_3_clk,65.64
_0843_,65.62
clknet_leaf_15_clk,64.72
clknet_leaf_18_clk,62.96
_0955_,62.58
_0868_,61.56
_0920_,59.68
clknet_leaf_51_clk,59.1
_0916_,58.98
_1034_,58.48
_0946_,58.38
clknet_leaf_8_clk,58.3
net66,57.44
clknet_leaf_26_clk,56.26
_0530_,56.22
_0923_,55.92
clknet_leaf_34_clk,55.66
clknet_leaf_56_clk,54.72
clknet_leaf_46_clk,54.6
_0680_,54.44
clknet_leaf_33_clk,53.14
_0929_,53
_0432_,52.62
_0555_,52.28
clknet_leaf_54_clk,51.96
_0661_,50.2
_0987_,50.2
_0572_,49.36
clknet_leaf_49_clk,49.24
net68,48.995
clknet_leaf_45_clk,48.6
_0907_,48.52
rs_inst.busy\[3\],48.2
_0616_,48.14
clknet_leaf_20_clk,47.88
_0644_,46.36
rs_inst.busy\[1\],46.36
clknet_leaf_27_clk,46.02
net64,45.6
_0704_,45.56
_1025_,45.46
_0462_,45.28
rs_inst.vj_arr\[3\]\[5\],44.38
clknet_leaf_22_clk,44.02
clknet_leaf_5_clk,43.04
clknet_leaf_39_clk,42.34
rs_inst.busy\[2\],42.27
_0651_,42.2
_1018_,41.48
clknet_leaf_4_clk,40.36
_0668_,40.24
clknet_leaf_36_clk,40.24
_0587_,40.1
_0604_,39.66
_0936_,39.36
_0722_,38.58
rs_inst.vj_arr\[6\]\[28\],38.58
net393,38.48
_0490_,38.42
_0504_,38.4
cdb_inst.alu_value\[25\],38.12
_1176_,37.88
clknet_leaf_57_clk,37.44
_0643_,36.9
_0630_,36.42
clknet_leaf_43_clk,36.3
rs_inst.vj_arr\[0\]\[27\],35.88
clknet_leaf_41_clk,35.86
_1011_,35.38
_0367_,34.96
clknet_leaf_60_clk,34.88
_0536_,33.86
clknet_leaf_19_clk,33.84
_0746_,33.7
_0731_,33
rs_inst.vj_arr\[7\]\[28\],32.74
_0678_,32.56
_0593_,32.42
_1032_,31.96
_0752_,31.76
_0737_,31.64
_0564_,31.56
rs_inst.vj_arr\[0\]\[20\],31.52
_0499_,31.04
_0949_,31.02
_1009_,31.02
_0543_,30.92
_0881_,30.56
_0994_,30.4
_0913_,30.08
_0623_,30.06
_0685_,29.92
_0516_,29.9
rs_inst.vj_arr\[7\]\[26\],29.81
rs_inst.vj_arr\[0\]\[28\],29.68
rs_inst.busy\[7\],29.56
_0551_,29.36
_0791_,29.2
clknet_leaf_16_clk,29.2
_0756_,28.98
_0568_,28.82
rs_inst.vj_arr\[7\]\[25\],28.52
rs_inst.vj_arr\[4\]\[17\],28.32
_0639_,27.8
_1056_,27.74
_0491_,27.6
rs_inst.vj_arr\[1\]\[25\],27.46
_0621_,27.12
_0716_,26.98
_0659_,26.54
_0761_,25.52
rs_inst.busy\[6\],25.26
_0863_,24.8
_0513_,24.72
_0806_,24.7
_0825_,24.64
_1028_,24.46
_0478_,24.32
rs_inst.vj_arr\[2\]\[29\],24.14
_1043_,24.1
_0797_,23.86
_1010_,23.5
_0474_,23.42
_0847_,23.42
_0508_,23.38
_0837_,23.16
rs_inst.vj_arr\[4\]\[14\],22.84
rs_inst.vj_arr\[7\]\[27\],22.695
_0874_,22.64
_0510_,22.58
rs_inst.vj_arr\[4\]\[25\],22.58
rs_inst.vj_arr\[4\]\[27\],22.58
_1178_,22.56
_0696_,22.46
_0541_,22.38
_0853_,22.24
rs_inst.vj_arr\[3\]\[31\],22.22
_1002_,22.04
rs_inst.vj_arr\[2\]\[27\],22.04
_0822_,21.96
_0442_,21.94
_0898_,21.82
_1016_,21.54
rs_inst.vj_arr\[2\]\[28\],21.38
cdb_inst.alu_value\[29\],21.34
cycle_counter\[0\],21.34
_0902_,21.32
_1162_,21.295
_1000_,21.26
